1000 1500
850 548 102
548 539 27
539 697 117
697 65 167
65 982 44
982 857 118
857 414 126
414 745 60
745 38 20
38 409 58
409 416 52
416 906 93
906 825 177
825 899 107
899 159 177
159 294 8
294 309 118
309 625 74
625 66 48
66 893 78
893 147 199
147 968 67
968 978 134
978 441 56
441 43 1
43 619 33
619 498 156
498 597 23
597 403 18
403 84 180
84 585 186
585 209 19
209 217 111
217 304 61
304 838 24
838 502 88
502 911 186
911 588 70
588 743 112
743 6 24
6 123 196
123 437 114
437 454 158
454 333 172
333 601 167
601 278 64
278 537 23
537 102 76
102 351 198
351 892 62
892 157 29
157 834 88
834 273 118
273 938 113
938 543 101
543 950 40
950 578 48
578 728 79
728 574 115
574 238 49
238 845 80
845 241 158
241 594 190
594 990 120
990 770 98
770 161 61
161 160 63
160 335 195
335 248 43
248 438 130
438 455 41
455 609 78
609 27 38
27 928 111
928 558 110
558 924 59
924 292 176
292 641 34
641 963 96
963 175 55
175 30 142
30 663 7
663 15 10
15 722 88
722 251 187
251 744 169
744 998 30
998 453 80
453 929 139
929 782 7
782 639 6
639 228 47
228 873 16
873 974 118
974 71 199
71 111 188
111 352 43
352 336 58
336 529 196
529 735 193
735 408 164
408 926 19
926 142 35
142 841 7
841 239 149
239 139 78
139 272 21
272 311 200
311 649 106
649 492 117
492 898 23
898 860 143
860 364 101
364 511 38
511 997 47
997 699 136
699 772 146
772 637 17
637 789 70
789 51 190
51 547 117
547 36 95
36 614 20
614 32 44
32 253 61
253 279 181
279 783 17
783 154 200
154 984 161
984 418 35
418 18 100
18 473 39
473 967 74
967 996 80
996 271 117
271 463 152
463 705 198
705 321 11
321 434 39
434 164 115
164 579 34
579 796 119
796 774 87
774 432 34
432 723 58
723 399 196
399 781 132
781 790 68
790 54 68
54 568 96
568 560 19
560 124 60
124 642 184
642 283 197
283 339 174
339 869 135
869 686 123
686 349 146
349 381 107
381 471 154
471 961 2
961 47 127
47 948 3
948 714 39
714 653 106
653 199 163
199 211 3
211 495 77
495 713 134
713 390 186
390 544 77
544 475 113
475 890 52
890 829 30
829 636 61
636 240 153
240 162 58
162 586 73
586 933 157
933 96 137
96 303 93
303 956 108
956 462 42
462 256 64
256 870 36
870 127 63
127 119 43
119 420 158
420 905 109
905 457 116
457 509 180
509 366 102
366 224 139
224 563 44
563 633 148
633 618 38
618 535 163
535 904 106
904 627 153
627 40 120
40 284 52
284 370 140
370 134 4
134 603 44
603 816 139
816 270 147
270 280 29
280 469 185
469 314 191
314 701 114
701 461 123
461 517 121
517 255 186
255 874 26
874 670 143
670 812 99
812 80 103
80 143 136
143 521 146
521 368 151
368 3 7
3 720 30
720 836 94
836 179 75
179 81 23
81 197 187
197 165 67
165 803 169
803 427 51
427 583 148
583 234 89
234 484 172
484 664 168
664 589 61
589 404 78
404 608 171
608 922 63
922 851 111
851 315 12
315 687 183
687 443 132
443 489 150
489 995 42
995 654 62
654 527 11
527 811 58
811 526 134
526 494 28
494 819 158
819 768 196
768 657 104
657 576 135
576 861 26
861 382 141
382 33 102
33 823 32
823 724 112
724 592 23
592 496 22
496 867 95
867 108 41
108 556 159
556 809 166
809 765 69
765 8 55
8 746 2
746 756 74
756 226 46
226 115 175
115 425 196
425 185 96
185 806 63
806 82 122
82 479 153
479 505 18
505 64 148
64 754 166
754 612 48
612 833 56
833 704 198
704 412 83
412 376 21
376 78 77
78 419 130
419 799 18
799 52 122
52 290 57
290 266 30
266 661 23
661 464 119
464 849 112
849 573 67
573 245 53
245 775 148
775 868 103
868 261 69
261 79 165
79 566 36
566 35 78
35 101 35
101 151 52
151 731 174
731 531 169
531 541 155
541 387 33
387 356 56
356 559 7
559 640 53
640 696 161
696 262 174
262 122 169
122 983 55
983 862 86
862 865 7
865 121 36
121 668 196
668 935 182
935 976 6
976 959 156
959 577 165
577 703 121
703 880 93
880 946 156
946 183 148
183 206 150
206 169 90
169 458 131
458 758 94
758 67 7
67 780 57
780 380 52
380 340 185
340 969 55
969 104 78
104 727 114
727 512 160
512 293 119
293 692 112
692 730 191
730 296 35
296 554 144
554 375 82
375 761 48
761 186 108
186 918 87
918 947 59
947 391 84
391 666 58
666 379 166
379 252 106
252 831 29
831 550 141
550 268 14
268 184 137
184 846 183
846 388 193
388 854 54
854 392 187
392 243 117
243 187 71
187 662 30
662 886 164
886 318 67
318 439 70
439 229 147
229 16 84
16 371 64
371 538 165
538 174 195
174 326 65
326 389 24
389 695 128
695 150 124
150 807 144
807 487 178
487 613 103
613 817 114
817 61 112
61 516 71
516 736 39
736 468 158
468 95 54
95 260 170
260 193 155
193 648 159
648 363 6
363 827 166
827 786 196
786 888 24
888 595 14
595 1000 117
1000 397 37
397 562 141
562 378 77
378 927 184
927 394 169
394 344 72
344 522 26
522 932 74
932 960 23
960 486 131
486 231 130
231 46 51
46 137 43
137 623 172
623 483 168
483 767 73
767 402 29
402 858 129
858 992 45
992 818 172
818 21 3
21 632 47
632 106 167
106 965 117
965 598 123
598 753 127
753 23 177
23 658 189
658 120 75
120 200 181
200 171 95
171 569 38
569 136 95
136 587 67
587 19 45
19 400 37
400 334 44
334 970 63
970 842 40
842 690 102
690 729 35
729 700 187
700 591 105
591 955 28
955 132 60
132 681 118
681 317 106
317 395 17
395 329 50
329 298 78
298 41 134
41 835 154
835 145 114
145 685 127
685 22 177
22 748 95
748 411 169
411 750 141
750 417 96
417 353 2
353 405 164
405 853 91
853 4 174
4 847 122
847 747 11
747 646 114
646 901 113
901 383 57
383 553 130
553 570 141
570 506 90
506 34 130
34 500 138
500 777 60
777 629 136
629 721 48
721 428 72
428 844 132
844 715 7
715 373 112
373 324 35
324 313 88
313 913 12
913 551 155
551 751 2
751 972 153
972 691 87
691 679 31
679 5 40
5 72 157
72 800 22
800 631 81
631 678 95
678 98 49
98 63 176
63 987 40
987 878 89
878 903 151
903 930 48
930 975 65
975 520 36
520 69 139
69 604 103
604 610 56
610 584 31
584 25 127
25 717 116
717 367 8
367 581 105
581 42 174
42 442 9
442 97 51
97 323 177
323 48 82
48 235 56
235 689 115
689 194 197
194 346 55
346 921 95
921 153 142
153 708 134
708 430 106
430 673 52
673 840 127
840 29 92
29 460 25
460 332 96
332 320 42
320 879 35
879 674 57
674 192 71
192 9 193
9 518 112
518 130 194
130 230 66
230 327 20
327 338 128
338 107 65
107 362 4
362 281 35
281 466 103
466 784 181
784 180 14
180 348 51
348 83 32
83 319 38
319 611 128
611 749 188
749 478 6
478 93 116
93 565 50
565 555 144
555 617 47
617 445 154
445 788 187
788 707 182
707 214 189
214 957 23
957 490 63
490 567 108
567 669 147
669 620 34
620 2 19
2 190 182
190 110 193
110 536 135
536 973 155
973 792 123
792 436 72
436 883 107
883 125 118
125 734 148
734 307 27
307 422 184
422 196 54
196 504 119
504 257 19
257 693 88
693 733 162
733 481 30
481 444 161
444 322 167
322 126 139
126 914 107
914 684 136
684 848 184
848 75 148
75 698 103
698 826 139
826 73 118
73 198 67
198 981 51
981 624 104
624 87 148
87 267 129
267 740 39
740 410 14
410 459 99
459 216 65
216 524 181
524 485 53
485 374 132
374 514 120
514 156 141
156 839 171
839 56 121
56 871 113
871 116 164
116 688 178
688 94 2
94 676 175
676 864 195
864 62 63
62 607 177
607 131 141
131 523 160
523 808 95
808 561 81
561 114 78
114 449 15
449 821 134
821 508 49
508 407 188
407 55 166
55 172 88
172 993 186
993 941 69
941 795 62
795 488 73
488 958 106
958 549 7
549 824 171
824 980 71
980 448 19
448 357 41
357 219 28
219 794 74
794 470 96
470 301 84
301 377 162
377 57 174
57 605 12
605 706 70
706 785 89
785 643 40
643 158 7
158 308 102
308 386 20
386 942 98
942 77 130
77 628 55
628 53 29
53 542 35
542 766 15
766 682 156
682 951 104
951 575 112
575 26 137
26 760 100
760 163 76
163 546 123
546 979 2
979 528 20
528 49 187
49 89 175
89 413 68
413 719 22
719 88 93
88 282 18
282 515 137
515 207 142
207 814 17
814 424 103
424 58 80
58 287 72
287 991 137
991 709 68
709 645 162
645 564 103
564 347 10
347 144 78
144 129 35
129 902 24
902 949 170
949 13 149
13 876 162
876 295 63
295 936 186
936 350 127
350 994 188
994 677 170
677 907 182
907 435 102
435 513 52
513 50 100
50 917 40
917 779 157
779 810 130
810 859 162
859 805 52
805 173 109
173 855 188
855 534 92
534 302 135
302 76 86
76 149 56
149 203 169
203 694 24
694 359 77
359 675 16
675 660 44
660 415 143
415 908 169
908 451 194
451 762 24
762 798 168
798 291 65
291 757 62
757 776 132
776 289 134
289 510 112
510 223 150
223 354 3
354 652 3
652 17 17
17 916 106
916 530 45
530 725 178
725 361 72
361 426 183
426 133 164
133 482 122
482 671 108
671 739 179
739 525 185
525 341 172
341 92 145
92 421 94
421 940 198
940 201 195
201 532 45
532 316 64
316 920 34
920 602 134
602 70 56
70 656 43
656 204 118
204 954 90
954 964 10
964 909 187
909 305 54
305 249 45
249 452 88
452 843 35
843 599 96
599 732 125
732 718 49
718 519 99
519 401 70
401 828 56
828 897 141
897 966 186
966 11 5
11 769 88
769 286 173
286 31 128
31 423 18
423 220 91
220 962 50
962 616 52
616 128 58
128 244 141
244 999 33
999 894 55
894 109 169
109 472 94
472 146 48
146 830 63
830 188 193
188 467 13
467 832 96
832 176 195
176 572 81
572 20 132
20 429 176
429 365 122
365 989 87
989 667 43
667 14 126
14 557 196
557 626 115
626 596 108
596 778 63
778 285 63
285 634 149
634 1 55
1 802 90
802 398 93
398 477 27
477 113 2
113 651 104
651 655 186
655 875 156
875 934 34
934 737 170
737 474 57
474 299 91
299 621 196
621 552 84
552 265 120
265 630 29
630 215 81
215 138 54
138 100 23
100 189 124
189 205 102
205 741 177
741 345 171
345 763 41
763 665 63
665 254 105
254 647 100
647 177 108
177 103 128
103 225 169
225 465 45
465 787 182
787 545 192
545 86 32
86 866 167
866 191 118
191 986 4
986 242 34
242 328 51
328 571 54
571 872 172
872 919 7
919 7 173
7 837 71
837 953 196
953 738 129
738 246 65
246 297 14
297 236 155
236 433 124
433 105 28
105 227 153
227 24 161
24 167 52
167 759 112
759 638 76
638 90 158
90 202 17
202 44 115
44 166 83
166 540 61
540 582 5
582 310 93
310 804 40
804 276 148
276 148 5
148 170 47
170 440 134
440 863 20
863 891 49
891 881 140
881 218 182
218 716 153
716 331 188
331 263 115
263 221 85
221 915 122
915 259 45
259 264 182
264 355 172
355 118 129
118 503 43
503 856 59
856 237 50
237 59 117
59 141 115
141 771 89
771 952 177
952 493 113
493 939 3
939 710 75
710 247 79
247 337 85
337 971 159
971 330 105
330 877 194
877 396 107
396 12 166
12 606 153
606 360 44
360 985 40
985 852 164
852 358 74
358 622 1
622 887 117
887 213 129
213 943 5
943 742 30
742 447 15
447 801 23
801 644 152
644 212 155
212 900 116
900 988 47
988 277 105
277 499 74
499 755 182
755 882 34
882 39 134
39 884 50
884 944 128
944 210 147
210 797 96
797 275 3
275 37 177
37 45 160
45 312 196
312 600 41
600 372 64
372 752 179
752 446 56
446 10 88
10 384 128
384 680 151
680 773 42
773 306 93
306 155 194
155 711 153
711 480 108
480 650 42
650 269 164
269 112 200
112 140 79
140 135 95
135 258 171
258 507 114
507 912 74
912 300 174
300 117 153
117 274 111
274 152 80
152 931 32
931 593 13
593 233 100
233 385 146
385 85 193
85 590 172
590 393 81
393 683 118
683 325 100
325 369 133
369 501 141
501 815 19
815 820 119
820 580 47
580 925 161
925 896 162
896 178 29
178 232 40
232 945 112
945 885 45
885 181 21
181 342 119
342 91 159
91 764 178
764 791 138
791 406 9
406 288 15
288 889 137
889 712 126
712 895 140
895 615 136
615 343 109
343 182 4
182 222 152
222 702 113
702 635 79
635 491 105
491 910 174
910 672 18
672 659 173
659 476 72
476 813 76
813 74 88
74 450 174
450 208 14
208 431 21
431 99 13
99 497 11
497 68 60
68 977 32
977 456 150
456 168 142
168 793 160
793 28 146
28 726 47
726 822 175
822 923 61
923 250 1
250 60 117
60 195 17
195 937 17
937 533 1
185 143 12
299 19 108
819 607 149
15 854 7
485 116 167
141 208 110
879 154 179
437 703 169
71 642 121
389 588 14
40 266 111
325 292 119
617 12 11
280 593 3
561 762 85
985 659 30
504 241 39
268 617 90
666 542 71
462 583 64
551 275 85
215 466 144
414 478 33
792 879 196
530 730 145
894 374 100
186 512 128
595 374 31
936 50 84
98 871 200
654 165 127
94 568 159
619 119 87
117 49 118
444 734 166
976 828 115
528 421 163
999 992 194
662 911 45
828 514 197
156 126 74
610 747 108
144 745 114
454 380 122
872 962 93
355 55 146
938 85 155
753 684 55
363 160 20
742 516 109
570 701 157
716 11 103
331 556 23
254 86 123
229 107 29
158 947 93
663 9 100
3 997 16
911 839 64
65 219 71
162 52 161
150 305 148
155 418 198
593 304 37
138 684 124
651 275 104
815 607 130
496 210 180
180 660 178
32 235 36
278 161 198
1000 174 73
58 493 27
131 873 67
539 213 61
879 206 122
19 199 192
97 667 19
58 588 124
534 435 84
736 246 40
887 657 79
942 239 139
204 820 3
582 415 193
350 169 200
320 55 58
287 36 3
296 915 91
992 688 147
135 194 163
266 930 113
79 734 62
57 305 84
74 81 176
27 312 68
837 222 114
171 576 138
910 404 189
129 513 65
199 353 101
430 550 45
6 455 80
763 6 146
251 800 71
563 883 95
915 244 130
679 928 158
297 183 105
7 968 160
153 137 117
283 731 152
938 887 24
960 132 75
823 150 114
983 528 102
176 615 127
401 618 147
417 830 135
649 658 46
9 494 109
712 396 94
189 30 117
607 947 100
401 873 191
4 177 59
861 480 60
948 148 32
920 650 25
232 751 31
618 898 31
629 302 11
815 176 19
212 557 162
98 496 65
185 17 57
567 397 166
259 476 101
680 752 20
871 246 1
322 818 71
44 85 40
321 988 96
