200 300
151 55 34
55 114 61
114 76 92
76 65 40
65 24 155
24 12 189
12 86 67
86 135 48
135 38 132
38 98 140
98 16 184
16 39 130
39 41 41
41 34 199
34 159 93
159 17 119
17 172 83
172 52 156
52 66 28
66 29 87
29 147 197
147 190 71
190 107 11
107 31 3
31 43 123
43 101 145
101 25 128
25 197 111
197 198 53
198 84 188
84 74 114
74 72 91
72 191 65
191 144 70
144 105 107
105 42 197
42 80 56
80 22 62
22 3 77
3 6 120
6 123 177
123 132 38
132 148 33
148 120 162
120 59 64
59 153 31
153 83 21
83 102 169
102 89 156
89 200 81
200 157 72
157 19 188
19 100 57
100 152 172
152 44 93
44 177 66
177 23 61
23 118 154
118 88 14
88 20 93
20 78 61
78 50 150
50 150 63
150 168 4
168 7 94
7 161 43
161 160 85
160 104 67
104 130 107
130 61 199
61 4 143
4 85 25
85 27 177
27 81 15
81 189 108
189 155 69
155 73 57
73 193 107
193 149 163
149 175 2
175 30 161
30 115 59
115 15 199
15 158 73
158 156 61
156 69 36
69 195 138
195 137 22
137 112 182
112 110 129
110 64 119
64 165 195
165 141 128
141 56 141
56 71 12
71 111 170
111 92 193
92 95 5
95 184 6
184 178 168
178 109 4
109 5 102
5 142 109
142 167 42
167 188 151
188 139 164
139 185 9
185 108 104
108 126 189
126 140 150
140 53 181
53 163 111
163 35 53
35 117 180
117 60 86
60 174 20
174 169 189
169 143 39
143 82 68
82 51 164
51 1 187
1 36 132
36 166 190
166 32 117
32 122 74
122 28 143
28 40 137
40 154 175
154 171 92
171 196 115
196 18 67
18 13 34
13 8 17
8 62 87
62 136 28
136 48 69
48 183 182
183 26 115
26 179 101
179 164 185
164 75 134
75 37 119
37 176 64
176 186 181
186 133 99
133 129 158
129 14 135
14 131 125
131 54 49
54 97 24
97 113 154
113 124 37
124 77 29
77 63 60
63 138 4
138 79 164
79 49 122
49 58 3
58 94 171
94 146 97
146 91 24
91 47 29
47 70 42
70 121 176
121 145 31
145 199 88
199 68 141
68 116 15
116 93 129
93 99 78
99 2 118
2 45 8
45 170 54
170 10 65
10 128 59
128 9 124
9 162 3
162 87 56
87 182 119
182 96 113
96 181 153
181 187 197
187 173 132
173 33 101
33 103 49
103 127 54
127 119 124
119 21 134
21 67 109
67 192 93
192 194 117
194 90 111
90 46 55
46 125 43
125 57 94
57 134 83
134 180 96
180 11 159
11 106 176
127 116 106
72 80 146
31 159 179
20 99 75
31 109 38
168 148 103
124 26 119
168 26 75
24 154 188
161 89 10
52 42 20
14 178 175
70 68 131
99 168 33
169 185 19
77 160 114
91 64 124
56 100 24
66 91 24
142 110 10
41 177 89
93 146 147
197 191 196
155 120 166
27 37 106
12 70 85
101 153 200
111 103 199
87 171 133
85 72 183
15 153 166
27 41 103
192 93 32
35 44 26
84 80 122
91 29 150
5 147 29
112 118 149
142 169 91
97 154 76
89 198 175
135 183 193
4 185 71
84 176 11
41 159 188
191 178 17
180 71 151
198 74 137
40 15 73
44 164 32
6 136 149
92 135 104
46 136 114
162 62 141
128 108 144
183 61 3
163 159 67
20 167 112
12 110 51
75 18 18
124 42 46
39 32 22
84 61 32
92 60 190
178 51 133
89 69 2
56 73 1
34 115 200
123 169 183
125 155 168
100 45 13
197 69 44
13 197 33
82 63 11
110 71 30
76 45 61
62 141 31
83 174 84
85 91 119
128 94 61
38 115 28
147 74 137
18 1 131
113 21 55
142 45 163
148 173 122
167 196 100
33 110 42
177 70 36
193 195 132
149 136 7
102 39 47
111 50 56
173 80 33
11 145 200
80 148 35
102 132 12
10 153 99
16 68 27
83 200 175
24 177 108
40
2
6
8
9
25
29
30
34
38
51
62
64
66
67
71
73
77
88
95
96
98
100
108
109
123
129
130
131
139
142
148
149
153
154
156
165
166
177
192
198
