2000 3000
1929 548 129
548 1229 165
1229 1734 131
1734 1505 116
1505 982 152
982 857 38
857 1409 17
1409 1419 96
1419 1441 152
1441 1227 41
1227 1829 19
1829 1485 49
1485 825 141
825 1638 72
1638 159 129
159 294 6
294 1827 175
1827 1566 48
1566 1164 156
1164 893 72
893 147 26
147 968 194
968 1346 171
1346 1496 44
1496 1547 118
1547 1050 107
1050 498 192
498 597 134
597 403 72
403 84 175
84 1400 163
1400 1813 187
1813 217 58
217 304 163
304 838 139
838 1673 181
1673 911 104
911 1180 149
1180 1277 13
1277 1041 193
1041 123 107
123 437 30
437 454 63
454 1495 9
1495 601 79
601 278 177
278 537 114
537 1351 191
1351 351 197
351 892 39
892 157 48
157 1006 16
1006 1766 127
1766 938 153
938 1135 103
1135 1789 128
1789 578 167
578 1092 190
1092 574 164
574 238 46
238 1849 81
1849 1296 107
1296 1617 123
1617 1243 72
1243 1052 83
1052 161 57
161 160 196
160 1573 100
1573 248 4
248 438 177
438 1022 29
1022 1268 122
1268 1347 88
1347 1289 138
1289 1313 89
1313 924 87
924 1373 27
1373 641 23
641 1237 137
1237 1904 23
1904 1927 185
1927 1772 105
1772 15 168
15 722 50
722 251 71
251 744 197
744 998 167
998 453 61
453 929 87
929 782 167
782 639 129
639 1144 159
1144 1422 174
1422 1810 57
1810 71 85
71 111 32
111 1694 187
1694 1662 107
1662 1187 139
1187 735 64
735 1377 53
1377 1928 188
1928 1215 7
1215 841 19
841 1125 147
1125 1546 133
1546 1369 175
1369 1117 179
1117 649 24
649 492 84
492 1379 162
1379 860 164
860 364 41
364 1436 81
1436 1800 103
1800 699 15
699 1019 20
1019 637 127
637 1970 89
1970 51 96
51 1274 121
1274 1887 16
1887 614 14
614 32 82
32 1309 99
1309 279 107
279 783 71
783 154 74
154 1420 69
1420 1219 3
1219 1133 93
1133 1884 75
1884 967 192
967 1386 156
1386 1332 191
1332 463 155
463 705 131
705 321 119
321 434 92
434 164 16
164 579 156
579 796 176
796 1021 165
1021 432 117
432 1382 178
1382 1163 32
1163 781 135
781 790 196
790 1541 83
1541 1757 180
1757 560 196
560 124 169
124 1915 138
1915 283 37
283 339 96
339 869 199
869 1718 63
1718 1972 149
1972 381 95
381 471 108
471 1126 35
1126 1004 4
1004 948 163
948 1720 43
1720 1785 157
1785 199 119
199 1169 84
1169 1526 18
1526 713 123
713 1678 5
1678 544 149
544 475 61
475 1257 121
1257 829 142
829 636 101
636 1930 73
1930 162 166
162 1869 171
1869 1397 119
1397 1161 149
1161 303 104
303 1955 172
1955 462 137
462 1123 10
1123 870 141
870 1589 21
1589 119 183
119 420 170
420 905 20
905 457 58
457 1751 133
1751 1221 160
1221 1249 152
1249 1418 32
1418 633 97
633 618 96
618 1447 122
1447 904 102
904 627 137
627 40 157
40 1790 35
1790 370 185
370 134 188
134 603 87
603 1105 150
1105 1283 167
1283 280 66
280 1544 145
1544 1024 135
1024 701 199
701 1294 79
1294 1023 38
1023 255 171
255 1681 121
1681 1182 56
1182 812 171
812 1494 135
1494 1623 161
1623 1458 91
1458 1445 153
1445 1432 141
1432 1287 82
1287 1515 162
1515 1416 114
1416 81 103
81 1343 8
1343 1196 177
1196 1273 8
1273 427 53
427 1805 20
1805 234 60
234 1085 139
1085 664 103
664 589 171
589 404 99
404 1885 121
1885 1106 55
1106 851 179
851 315 82
315 1986 157
1986 443 42
443 489 169
489 995 138
995 654 16
654 1226 83
1226 811 88
811 1763 181
1763 1304 189
1304 819 189
819 768 191
768 657 169
657 576 149
576 861 125
861 1100 200
1100 1608 180
1608 1067 112
1067 724 200
724 1602 199
1602 1307 144
1307 867 128
867 1318 67
1318 1439 4
1439 1363 103
1363 765 187
765 8 182
8 1507 10
1507 756 60
756 1753 29
1753 1535 4
1535 1239 13
1239 1333 47
1333 806 45
806 82 36
82 479 147
479 1815 52
1815 1299 55
1299 1779 47
1779 1401 48
1401 1858 6
1858 704 49
704 1493 54
1493 376 186
376 78 69
78 419 15
419 1871 130
1871 1677 78
1677 290 121
290 1122 49
1122 661 35
661 1276 161
1276 849 2
849 573 175
573 245 186
245 1470 175
1470 1250 64
1250 261 46
261 1083 97
1083 566 182
566 1910 182
1910 1005 149
1005 151 119
151 731 51
731 531 162
531 1086 34
1086 387 177
387 1752 189
1752 1740 197
1740 1616 194
1616 1632 110
1632 262 86
262 122 106
122 983 34
983 862 39
862 865 188
865 1892 144
1892 668 127
668 1331 25
1331 976 162
976 959 122
959 577 95
577 703 165
703 880 86
880 946 46
946 183 58
183 1537 24
1537 169 145
169 458 138
458 758 39
758 67 102
67 1538 9
1538 380 194
380 340 155
340 969 90
969 104 185
104 1204 154
1204 512 81
512 293 112
293 1960 160
1960 1045 141
1045 296 161
296 1731 121
1731 1202 39
1202 1721 93
1721 186 43
186 918 45
918 1622 136
1622 391 22
391 1431 108
1431 1162 22
1162 252 126
252 1521 63
1521 550 16
550 1388 31
1388 184 72
184 1281 92
1281 1421 95
1421 1264 56
1264 1975 118
1975 243 65
243 187 185
187 1799 135
1799 1365 135
1365 318 60
318 439 18
439 1454 19
1454 16 196
16 371 18
371 538 103
538 174 100
174 326 148
326 389 107
389 695 117
695 150 192
150 1570 151
1570 1372 84
1372 1943 142
1943 817 53
817 1160 43
1160 516 137
516 1247 79
1247 1340 64
1340 95 102
95 1567 147
1567 1803 174
1803 648 122
648 363 45
363 1748 141
1748 1136 168
1136 888 173
888 595 25
595 1758 190
1758 1667 46
1667 562 2
562 378 10
378 1783 129
1783 394 105
394 344 95
344 522 12
522 1209 32
1209 1353 60
1353 1902 44
1902 1557 83
1557 1037 39
1037 1668 90
1668 623 118
623 1552 151
1552 767 162
767 402 143
402 1449 102
1449 992 151
992 1792 19
1792 21 1
21 632 51
632 106 82
106 1178 25
1178 598 48
598 1989 191
1989 1830 141
1830 658 59
658 120 170
120 200 53
200 171 100
171 569 129
569 136 127
136 1906 116
1906 1562 1
1562 400 69
400 1905 79
1905 1613 1
1613 1945 142
1945 1775 56
1775 1193 177
1193 700 138
700 1661 74
1661 1609 193
1609 132 100
132 681 109
681 1913 118
1913 395 130
395 329 109
329 1696 141
1696 41 102
41 1936 186
1936 145 170
145 1604 54
1604 1175 186
1175 1324 47
1324 411 102
411 1693 14
1693 1089 144
1089 1819 79
1819 405 173
405 853 45
853 4 170
4 847 195
847 747 134
747 646 34
646 1607 134
1607 383 51
383 1498 181
1498 1531 72
1531 506 188
506 34 126
34 500 125
500 1791 174
1791 1234 140
1234 721 16
721 1831 1
1831 844 67
844 715 90
715 373 44
373 324 50
324 1633 40
1633 913 71
913 1778 142
1778 751 174
751 972 22
972 1761 116
1761 679 118
679 5 182
5 72 105
72 1328 22
1328 1777 37
1777 1743 121
1743 1612 181
1612 1584 85
1584 1660 194
1660 878 48
878 1440 196
1440 930 113
930 975 57
975 1017 197
1017 1490 43
1490 1403 2
1403 1504 163
1504 584 185
584 1077 80
1077 1172 19
1172 1739 77
1739 1174 46
1174 42 182
42 442 32
442 1940 42
1940 1879 54
1879 1577 139
1577 235 82
235 689 152
689 1814 8
1814 1659 99
1659 921 53
921 153 116
153 708 166
708 430 114
430 673 52
673 840 39
840 29 174
29 460 124
460 1378 122
1378 320 33
320 1044 32
1044 1091 14
1091 1251 43
1251 9 144
9 518 184
518 130 143
130 230 156
230 327 71
327 338 79
338 107 103
107 362 30
362 281 77
281 1173 120
1173 784 193
784 1997 41
1997 348 103
348 1065 103
1065 1692 136
1692 1891 31
1891 749 48
749 1762 189
1762 1585 89
1585 565 111
565 555 46
555 617 188
617 445 20
445 788 74
788 1413 73
1413 1415 113
1415 1338 143
1338 490 9
490 567 106
567 669 128
669 1862 142
1862 2 32
2 1339 57
1339 110 106
110 536 22
536 1412 143
1412 792 141
792 1920 26
1920 1796 102
1796 125 50
125 1395 119
1395 307 127
307 1142 139
1142 1132 3
1132 1222 39
1222 1154 31
1154 1716 166
1716 1366 63
1366 481 169
481 1319 134
1319 322 103
322 1897 174
1897 1650 65
1650 684 51
684 1156 199
1156 75 69
75 698 165
698 1270 167
1270 1478 96
1478 1330 36
1330 981 130
981 1258 144
1258 1284 161
1284 267 67
267 740 191
740 410 113
410 1473 1
1473 1491 2
1491 524 24
524 1057 64
1057 374 178
374 514 173
514 1348 63
1348 839 158
839 56 79
56 871 106
871 1214 120
1214 1532 109
1532 1501 89
1501 1356 59
1356 1405 39
1405 1300 149
1300 607 44
607 131 98
131 1770 32
1770 1816 58
1816 1152 92
1152 1707 168
1707 449 176
449 1011 180
1011 508 118
508 1795 29
1795 1477 136
1477 1555 144
1555 1199 16
1199 941 88
941 795 17
795 488 3
488 1978 197
1978 549 148
549 824 188
824 1954 92
1954 1895 109
1895 1072 2
1072 219 200
219 1269 113
1269 470 121
470 301 128
301 1669 102
1669 57 55
57 605 115
605 1574 120
1574 1291 79
1291 1665 186
1665 1474 61
1474 308 80
308 386 1
386 1127 104
1127 1411 71
1411 628 32
628 1468 104
1468 542 1
542 1826 118
1826 682 127
682 1098 6
1098 575 147
575 1710 36
1710 1963 61
1963 163 110
163 546 48
546 1691 63
1691 1717 187
1717 1438 152
1438 1882 106
1882 413 65
413 719 188
719 1109 56
1109 1071 63
1071 515 102
515 1030 181
1030 1035 158
1035 424 136
424 58 163
58 1774 49
1774 991 176
991 1014 175
1014 1825 12
1825 1410 109
1410 347 177
347 1211 83
1211 1964 184
1964 902 167
902 1601 161
1601 13 68
13 876 81
876 1653 194
1653 936 108
936 1210 121
1210 994 145
994 1534 62
1534 907 62
907 1201 10
1201 513 156
513 50 95
50 917 28
917 779 146
779 810 3
810 1150 59
1150 805 28
805 173 171
173 855 107
855 534 172
534 302 40
302 76 144
76 1698 74
1698 1297 148
1297 1809 59
1809 359 83
359 675 11
675 1404 178
1404 1317 157
1317 908 85
908 451 6
451 1685 97
1685 798 149
798 291 40
291 1165 149
1165 1703 52
1703 1965 49
1965 510 159
510 1073 5
1073 354 155
354 1090 182
1090 1765 15
1765 1399 64
1399 1594 5
1594 725 26
725 1634 69
1634 426 158
426 133 21
133 1031 107
1031 1511 83
1511 739 92
739 525 81
525 341 199
341 92 70
92 1599 15
1599 1492 3
1492 201 65
201 1967 67
1967 1487 84
1487 920 176
920 1148 141
1148 70 76
70 656 53
656 1993 176
1993 1020 70
1020 964 83
964 1559 171
1559 1253 65
1253 1094 187
1094 1390 88
1390 843 25
843 599 24
599 732 81
732 718 145
718 1480 36
1480 401 157
401 828 133
828 1040 77
1040 966 45
966 1759 146
1759 1999 20
1999 286 22
286 1206 129
1206 423 66
423 1736 52
1736 962 34
962 616 14
616 128 153
128 1908 85
1908 999 189
999 1543 93
1543 109 196
109 1737 166
1737 146 75
146 1267 96
1267 188 138
188 1200 87
1200 1407 111
1407 1028 3
1028 1912 50
1912 20 161
20 1358 32
1358 1600 192
1600 1337 102
1337 667 63
667 14 194
14 1312 188
1312 626 182
626 596 131
596 1867 112
1867 285 43
285 1901 12
1901 1368 113
1368 1406 54
1406 398 63
398 1998 181
1998 113 142
113 651 170
651 655 77
655 875 119
875 934 47
934 737 142
737 1342 111
1342 1626 138
1626 1683 60
1683 552 97
552 1580 127
1580 1099 155
1099 215 19
215 1488 119
1488 100 7
100 1899 79
1899 1860 100
1860 1942 22
1942 1611 129
1611 1605 86
1605 665 29
665 1225 82
1225 1191 46
1191 1864 138
1864 1842 191
1842 225 175
225 465 98
465 1872 56
1872 1292 136
1292 1880 169
1880 866 35
866 191 80
191 1977 47
1977 242 112
242 1452 59
1452 1009 6
1009 872 73
872 919 99
919 1208 33
1208 837 200
837 953 90
953 1344 186
1344 1750 147
1750 297 160
297 1844 2
1844 433 123
433 1364 99
1364 227 91
227 24 19
24 1746 164
1746 1275 78
1275 1203 13
1203 1170 178
1170 202 134
202 1924 26
1924 166 109
166 540 164
540 1212 81
1212 310 12
310 1138 153
1138 276 137
276 1818 150
1818 1793 165
1793 440 68
440 1756 158
1756 1539 80
1539 1982 127
1982 1916 200
1916 1564 86
1564 1259 125
1259 263 155
263 1216 148
1216 915 148
915 1709 195
1709 1093 117
1093 1048 59
1048 1652 74
1652 1889 191
1889 1708 65
1708 1840 152
1840 1327 140
1327 1171 148
1171 1705 22
1705 952 61
952 1104 21
1104 939 26
939 710 82
710 247 51
247 337 142
337 1553 46
1553 330 175
330 1852 83
1852 1446 42
1446 12 37
